model,split,accuracy,precision,recall,f1_score,num_examples,confusion_matrix
bertweet,train,0.9492,0.9266,0.9756,0.9505,16000,"[[7382, 618], [195, 7805]]"
logistic_regression,train,0.9457,0.9547,0.9359,0.9452,16000,"[[7645, 355], [513, 7487]]"
majority,train,0.5,0.0,0.0,0.0,16000,"[[8000, 0], [8000, 0]]"
naive_bayes,train,0.9936,0.9918,0.9954,0.9936,16000,"[[7934, 66], [37, 7963]]"
bertweet,dev,0.877,0.8497,0.916,0.8816,2000,"[[838, 162], [84, 916]]"
logistic_regression,dev,0.8815,0.9003,0.858,0.8786,2000,"[[905, 95], [142, 858]]"
majority,dev,0.5,0.0,0.0,0.0,2000,"[[1000, 0], [1000, 0]]"
naive_bayes,dev,0.8925,0.8735,0.918,0.8952,2000,"[[867, 133], [82, 918]]"
bertweet,test,0.873,0.8397,0.922,0.8789,2000,"[[824, 176], [78, 922]]"
logistic_regression,test,0.858,0.8594,0.856,0.8577,2000,"[[860, 140], [144, 856]]"
majority,test,0.5,0.0,0.0,0.0,2000,"[[1000, 0], [1000, 0]]"
naive_bayes,test,0.8825,0.8619,0.911,0.8858,2000,"[[854, 146], [89, 911]]"
